web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1555502361-419,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@byoriiiii,عبـــيـــر ➰,"Uparking system 
نظام يهدف الى التقليل من الازدحام و توفير الراحة للمستخدم بحيث يستطيع المستخدم حجز موقف سيارته من منزله وضمان بأن لاحد سيأخد موقفه وبذلك حقننا هدف من اهداف  #رؤية_2030 
 عُرض فـ #إنجاز_2019 pic.twitter.com/WixjAE86Rn",2,1,3,1.55499E+12,4/11/2019 7:25,/byoriiiii/status/1116346598903226368
1555502361-591,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@Middleeast_code,YAZID MESSAOUDI,"KSA’s #Vision_2030 :                            - #Saudi_Arabia ... the heart of the Arab and Islamic worlds.                                     - the investment powerhouse.             - the hub connecting three continents (Asia, Europe, and Africa). pic.twitter.com/XnG4Ra4eQv",1,,4,1.54094E+12,10/30/2018 16:24,/Middleeast_code/status/1057412951899062272
1555502361-895,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@SaadAlmubaarak,Saad Almubarak,That’s my man !!   #مشروع_نيوم #القديه #مبادرة_مستقبل_الإستثمار #مشروع_البحر_الأحمر #مشروع_الفيصليه #رؤية_2030 #جدة_داون_تاون_الجديدةpic.twitter.com/9M7t6Ex2ah,,,,1.50885E+12,10/24/2017 4:55,/SaadAlmubaarak/status/922793692380979201
1555502361-425,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@ktdVWY5ykjEGJeJ,وطن,"*الرئيس التنفيذي لميناء الملك عبدالله الأستاذ ريان قطب: #ميناء_الملك_عبدالله أحد أسرع موانئ العالم نمواً، و قيمة لوجستية كبيرة للمملكة تجسد #رؤية_2030* pic.twitter.com/dq8Ue8bgpo",,,1,1.55491E+12,4/10/2019 8:14,/ktdVWY5ykjEGJeJ/status/1115996411496153090
1555502361-1156,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@AboShla5Libraly,أبو شلاخ الليبرالي,"عبدالعزيز بن خالد الفالح
ابن معالي وزير الطاقة 
موظف لدى شركة ""مكنزي""
التي خططت لـ #رؤية_2030 

#اللي_بعدهpic.twitter.com/Fm4sOOin8y",506,1.9K,254,1.4774E+12,10/25/2016 6:18,/AboShla5Libraly/status/790905364124471296
1555502361-1125,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@AjelNews24,خبر عاجل,"وزير التجارة والاستثمار في #منتدى_مسك_العالمي: 81% من سكان #المملكة تحت سن 45 و50% منهم دون 25 سنة.. ومن هنا انطلقت #رؤية_2030

#السعودية
-pic.twitter.com/i8GbmEzoXC",17,55,24,1.47929E+12,11/16/2016 1:25,/AjelNews24/status/798819210033963008
1555502361-1040,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@News_Ejazah,وكالة تعليق الدراسة,الخير جاي بمشيئة الله #رؤية_2030 pic.twitter.com/1nwkncLTN2,25,156,107,1.48853E+12,3/3/2017 1:51,/News_Ejazah/status/837601254163513344
1555502361-658,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@sabqorg,صحيفة سبق الإلكترونية,"قال: لدينا مشروع كامل لتطوير #المشاعر_المقدسة، ونتوقع بدء تنفيذه قبل موسم #الحج المقبل.
""الفيصل"": نسعى وفقا لـ #رؤية_2030 أن يصل عدد الحجاج إلى 5 ملايين حاج.
#العالم_في_قلب_المملكةpic.twitter.com/fDfgOpgNQu",6,48,41,1.53502E+12,8/23/2018 3:21,/sabqorg/status/1032573555035267072
1555502361-650,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@YahyaKumait,Yahya Ibrahim Kumait,"Surely everyone dreams of smart homes ,however it is difficult to apply in all Kingdom govern-orates , especially when our telecom infrastructure need to be re-established and configured in line with the needs of KSA users and  #Vision2030  desire
 #رؤية_2030
 #كفائة_الطاقهpic.twitter.com/otpdAfwnqT",,4,5,1.53534E+12,8/26/2018 21:29,/YahyaKumait/status/1033934536265150464
1555502361-912,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@alwaleed_philan,الوليد للإنسانية,إيماناً ب #رؤية_٢٠٣٠ ل #السماح_للمرأة_بالقيادة تعاونا مع @CareemKSA @aljabr_kia @harakiaorg لدعم ٢٠٠سائق وسائقة وتدريب ١٠٠٠ لصيانة السيارات.pic.twitter.com/CAQBf5vCVI,200,193,430,1.5066E+12,9/28/2017 4:26,/alwaleed_philan/status/913364394251313152
1555502361-1210,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@KSAUHS_JD,كلية الطب - جدة,"رسائل د.سامية العمودي للمرأة السعودية 
لتحقيق #رؤية_2030
#اليوم_الوطني
#ksauhs
@drsamiapic.twitter.com/6VzTAimMSy",,20,25,1.47508E+12,9/28/2016 9:28,/KSAUHS_JD/status/781168727207321600
1555502361-473,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@RPDC_SA,RPDC  شركة تطوير المنتجات البحثية,وقعت #شركة_تطوير_المنتجات_البحثية مذكرة تفاهم مع شركة جينينوس لإطلاق مركز للاختبارات الوراثية في #المملكة_العربية_السعودية ولتيسير نقل التكنولوجيا للاضطرابات الوراثية والسرطانات في المملكة بالإضافة للحد من إجراء الفحوصات الجينية المخبرية خارج المملكة وتوطينها تماشيا مع #رؤية_2030 pic.twitter.com/VNpHMz3nbj,3,48,52,1.55429E+12,4/3/2019 3:31,/RPDC_SA/status/1113388463640981504
1555502361-1201,https://twitter.com/search?l=&q=%23vision_2030%20OR%20%23%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9_2030%20OR%20%23%D8%B1%D8%A4%D9%8A%D8%A9_2030&src=typd&lang=en,@AboShla5Libraly,أبو شلاخ الليبرالي,"شركة الجميح للمرطبات تعلن عن خمس وظائف شاغرة وتشترط في كل وظيفة أن لا يكون المتقدم سعودي الجنسية..

#رؤية_2030
#المزاز_بالداخلpic.twitter.com/9Us3KO4AZl",324,4.0K,401,1.47528E+12,9/30/2016 16:25,/AboShla5Libraly/status/781998424073854980
